Asset,Total Return,Annual Return (CAGR),Annual Volatility,Sharpe Ratio,Maximum Drawdown
HDFC Bank,0.2338896689774228,0.03239279811818707,0.2566293909384973,-0.10757615010834495,-0.40465300690100103
ICICI Bank,1.8168334410463562,0.1700936586013786,0.2908164334913329,0.3785675289380085,-0.48297835908485254
Infosys,0.8943416993751911,0.10175594672975663,0.2807947827190279,0.14870627696647393,-0.48171644951277015
Reliance Industries,0.9041493282390212,0.10261926935500609,0.2783539195494015,0.1531117989069385,-0.4408286216728521
TCS,0.3177801999273355,0.0427447449161551,0.246682742544735,-0.06994917806508384,-0.5339343493186859
NIFTY 50,1.02131339139134,0.11265132975188963,0.17892058850545373,0.29427205774188897,-0.3843985245274205
