Date,Portfolio Return,Portfolio Return (%),Portfolio Value (INR),NIFTY 50 Return,NIFTY 50 Investment Value (INR)
2020-01-02,0.004612691386307044,0.4612691386307044,1004612.6913863071,0.008183886337984836,1008183.8863379848
2020-01-03,0.0038031866073599432,0.3803186607359943,1008433.4209197714,-0.004522789386603554,1003624.0829571106
2020-01-06,-0.015782490005242723,-1.5782490005242722,992517.8305331524,-0.019105853072941215,984448.9886876666
2020-01-07,0.0027053325299662974,0.2705332529966297,995202.9213066652,0.004994592001242859,989365.9097321976
2020-01-08,0.0009547892723049454,0.09547892723049453,996153.1303796953,-0.0022899444111396106,987100.3167966343
2020-01-09,0.01356422355943121,1.356422355943121,1009665.1741395926,0.015845758122611686,1002741.6696593472
2020-01-10,0.0023590199024694724,0.23590199024694725,1012046.9943802182,0.0033480474426501594,1006098.8963420889
2020-01-13,0.006888627820231964,0.6888627820231964,1019018.609461088,0.0059354808073293075,1012070.5770316025
2020-01-14,0.00037440289408967607,0.037440289408967604,1019400.1329776015,0.0026562202609821117,1014758.8594038577
2020-01-15,-0.0025601477574862756,-0.2560147757486276,1016790.3180131776,-0.0015369308543056182,1013199.24520316
2020-01-16,0.0038777247984774334,0.3877724798477433,1020733.151044189,0.000988406301843714,1014200.6977221421
2020-01-17,0.0006924188749498401,0.06924188749498401,1021439.925944259,-0.000254978804985595,1013942.0980402214
2020-01-20,-0.012977360578885077,-1.2977360578885078,1008184.3317156107,-0.010346193941151438,1003451.6564487992
2020-01-21,-0.004384020365267127,-0.4384020365267127,1003764.4310734264,-0.004474618385662321,998961.59321773
2020-01-22,0.0015996734533660904,0.15996734533660903,1005370.1263872477,-0.005172555189302153,993794.4092448181
2020-01-23,0.004331968737231784,0.4331968737231784,1009725.3583441041,0.0060667236352978104,999823.4852760105
2020-01-24,0.0004912613658318854,0.04912613658318854,1010221.3974027594,0.005574584704263197,1005397.0859839934
2020-01-27,-0.008220199409131502,-0.8220199409131502,1001917.176068737,-0.010552527912150667,994787.6051713524
2020-01-28,-0.0050290852090259415,-0.5029085209025942,996878.4492179008,-0.005214967844912932,989599.8197978658
2020-01-29,0.0029011907078762443,0.29011907078762444,999770.5837116538,0.006113256399948197,995649.4972296327
2020-01-30,-0.008172081882645845,-0.8172081882645845,991600.3766377016,-0.0077249841553650445,987958.1206392366
2020-01-31,-0.013585161169564453,-1.3585161169564453,978129.3257052776,-0.006123414854723341,981908.4432074698
2020-02-03,-0.012959268230779707,-1.2959268230779708,965453.4854090713,-0.021250384719316173,961042.5110301662
2020-02-04,0.02385296706835378,2.385296706835378,988482.4156025612,0.02321082268667074,983349.0983480401
2020-02-05,0.011485019266309583,1.1485019266309582,999835.1551901649,0.009140500467834434,992337.401241535
2020-02-06,-0.0036284975134271537,-0.36284975134271535,996207.2558157203,0.004036661230167438,996343.1311563719
2020-02-07,-0.002514536126619671,-0.2514536126619671,993702.256681371,-0.0032625431230384194,993092.5187256311
2020-02-10,0.0003568457772813447,0.03568457772813447,994056.8551355428,-0.005525514763038308,987605.1713523497
2020-02-11,0.003909492623112998,0.39094926231129984,997943.11307765,0.006350030388978967,993876.4942027499
2020-02-12,0.010859694223344275,1.0859694223344274,1008780.4701379654,0.0077056964194832656,1001535.0047455367
2020-02-13,0.0011057394877532767,0.11057394877532767,1009895.9185382712,-0.0021759994314084485,999355.6651446748
2020-02-14,-0.002124370261428843,-0.2124370261428843,1007750.52568179,-0.005026854435148831,994332.0496870511
2020-02-17,-0.000649747196991824,-0.0649747196991824,1007095.7426024611,-0.00558473346026378,988778.9702185512
2020-02-18,0.0009556218091165028,0.09556218091165028,1008058.1452579604,-0.004424762618648104,984403.8579930228
2020-02-19,0.007542153880154578,0.7542153880154578,1015661.0749096391,0.011123651500938081,995354.023445516
2020-02-20,-0.007675856371223234,-0.7675856371223233,1007865.0063767905,-0.003715252459506435,991656.0319618304
2020-02-24,-0.017096074210089497,-1.7096074210089498,990634.4714340206,-0.02081386879900149,971015.8334188386
2020-02-25,-0.0006332595919851254,-0.06332595919851254,990007.1426528338,-0.002662856861702312,968430.1572439976
2020-02-26,-0.013290817313130154,-1.3290817313130154,976849.138581141,-0.010120477938589723,958629.1812025448
2020-02-27,-0.006938366611425373,-0.6938366611425373,970071.40113361,-0.003870376787472707,954918.9250718246
2020-02-28,-0.04084275107524045,-4.084275107524045,930451.0163719002,-0.03709607866493836,919495.1775087218
2020-03-02,0.004679922651907797,0.46799226519077974,934805.4551599098,-0.006159751824491688,913831.3154114512
2020-03-03,0.012942141677744478,1.2942141677744479,946903.8398017177,0.015319647408546855,927830.8889544432
2020-03-04,-0.0007697402140974364,-0.07697402140974363,946174.9698373389,-0.004626950146523701,923537.8616868461
2020-03-05,-0.0024175623316186946,-0.24175623316186945,943887.5328711397,0.0015998577904186018,925015.3909296123
2020-03-06,-0.021134534233023073,-2.1134534233023072,923938.9094955509,-0.024806975302821943,902068.5569720913
