Date,Actual NIFTY 50,ARIMA Forecast,ARIMA Lower 95%,ARIMA Upper 95%,Prophet Forecast,Prophet Lower 95%,Prophet Upper 95%
2026-07-10,24206.900390625,23412.599609375,21109.03536690116,25716.16385184884,25938.053639971706,24693.927591141604,27091.199835427262
2026-07-13,24211.0,23412.599609375,21081.773302666956,25743.425916083044,25978.731679412027,24900.99958334002,26985.799581154435
2026-07-14,24052.05078125,23412.599609375,21054.826438588538,25770.372780161462,26010.602087465217,24864.202428975455,27095.52411163011
2026-07-15,24078.5,23412.599609375,21028.184088179365,25797.015130570635,26039.3025958727,24872.667746171177,27054.516285755148
2026-07-16,24072.75,23412.599609375,21001.836155496367,25823.363063253633,26036.7314711961,24922.552427565544,27152.32701955147
2026-07-17,24334.30078125,23412.599609375,20975.773090437917,25849.426128312083,26024.76049926051,24927.56595149634,27146.703705346958
2026-07-20,24238.5,23412.599609375,20949.985848300556,25875.213370449444,26031.27697942832,24913.3803450753,27152.407712455726
2026-07-21,24187.69921875,23412.599609375,20924.465853108788,25900.733365641212,26053.440055736995,24894.848213975598,27148.33305685588
2026-07-22,23996.25,23412.599609375,20899.204964296434,25925.994254453566,26073.559759085103,24839.384110937623,27191.61703509204
2026-07-23,23869.599609375,23412.599609375,20874.19544637262,25951.00377237738,26063.65231241361,24844.541441803845,27208.44000805083
2026-07-24,23767.44921875,23412.599609375,20849.429941251958,25975.769277498042,26045.66836536912,24923.95031913708,27202.21662793087
2026-07-27,23995.94921875,23412.599609375,20824.90144296838,26000.29777578162,26042.28434319392,24876.240940051564,27231.259279594997
2026-07-28,23985.349609375,23412.599609375,20800.603274526427,26024.595944223573,26063.7391477815,24874.478818569914,27300.169837563255
2026-07-29,24250.19921875,23412.599609375,20776.529066673123,26048.670152076877,26084.302514637868,24849.152752601254,27393.718578108037
2026-07-30,24317.150390625,23412.599609375,20752.672738399266,26072.526480350734,26075.862744882033,24815.44976258152,27296.57737212244
2026-07-31,24383.599609375,23412.599609375,20729.028479000972,26096.170739749028,26060.222047437197,24892.103279140167,27339.87413856862
2026-08-03,24774.30078125,23412.599609375,20705.59073155152,26119.60848719848,26067.453042907895,24805.91405551491,27318.19906286815
2026-08-04,24614.900390625,23412.599609375,20682.354177650348,26142.845041099652,26093.06687283823,24826.703171106976,27313.922051770183
2026-08-05,24624.650390625,23412.599609375,20659.31372333056,26165.88549541944,26117.82425955869,24804.59590087427,27257.069351617134
