Date,Asset,Daily Return,Daily Return (%)
2020-01-02,HDFC Bank,0.006374149860608691,0.6374149860608691
2020-01-03,HDFC Bank,-0.014260747919039196,-1.4260747919039196
2020-01-06,HDFC Bank,-0.02164150808343024,-2.164150808343024
2020-01-07,HDFC Bank,0.01583456078593004,1.583456078593004
2020-01-08,HDFC Bank,-0.002617702017630119,-0.2617702017630119
2020-01-09,HDFC Bank,0.011214555560742356,1.1214555560742356
2020-01-10,HDFC Bank,0.008887727471601714,0.8887727471601714
2020-01-13,HDFC Bank,0.0025728050724806995,0.25728050724806995
2020-01-14,HDFC Bank,0.0027215603816601597,0.27215603816601597
2020-01-15,HDFC Bank,-0.004071311190187776,-0.40713111901877763
2020-01-16,HDFC Bank,0.002647331317426671,0.2647331317426671
2020-01-17,HDFC Bank,-0.007377714932046087,-0.7377714932046087
2020-01-20,HDFC Bank,-0.018190390871799744,-1.8190390871799744
2020-01-21,HDFC Bank,-0.008407010909236678,-0.8407010909236678
2020-01-22,HDFC Bank,-0.002812654767078704,-0.2812654767078704
2020-01-23,HDFC Bank,0.003223589597725951,0.3223589597725951
2020-01-24,HDFC Bank,-0.00024110812494393397,-0.024110812494393397
2020-01-27,HDFC Bank,-0.025189822383303806,-2.5189822383303806
2020-01-28,HDFC Bank,0.00824286273504038,0.8242862735040379
2020-01-29,HDFC Bank,0.010341761822449724,1.0341761822449724
2020-01-30,HDFC Bank,-0.0079298100922639,-0.79298100922639
2020-01-31,HDFC Bank,0.0002039865315461853,0.02039865315461853
2020-02-03,HDFC Bank,-0.027318150885061177,-2.7318150885061177
2020-02-04,HDFC Bank,0.031019493090462813,3.1019493090462813
2020-02-05,HDFC Bank,0.012075102342750998,1.2075102342750998
2020-02-06,HDFC Bank,-0.00389655883089135,-0.389655883089135
2020-02-07,HDFC Bank,0.0019357705437201833,0.19357705437201833
2020-02-10,HDFC Bank,-0.001529678010372404,-0.1529678010372404
2020-02-11,HDFC Bank,0.00024178138695263307,0.024178138695263307
2020-02-12,HDFC Bank,0.0067710936532257016,0.6771093653225702
2020-02-13,HDFC Bank,-0.006084770577611587,-0.6084770577611587
2020-02-14,HDFC Bank,-0.017762411103517395,-1.7762411103517395
2020-02-17,HDFC Bank,-0.0018041717280961045,-0.18041717280961045
2020-02-18,HDFC Bank,-0.0032041242874730758,-0.3204124287473076
2020-02-19,HDFC Bank,0.011498086873666269,1.149808687366627
2020-02-20,HDFC Bank,-0.008230280021679803,-0.8230280021679803
2020-02-24,HDFC Bank,-0.00587450528215705,-0.587450528215705
2020-02-25,HDFC Bank,-0.007975469621850029,-0.7975469621850029
2020-02-26,HDFC Bank,-0.0008749266392131805,-0.08749266392131805
2020-02-27,HDFC Bank,0.0001669234790218077,0.01669234790218077
2020-02-28,HDFC Bank,-0.01817523887208705,-1.8175238872087052
2020-03-02,HDFC Bank,0.0016559089137737626,0.16559089137737626
2020-03-03,HDFC Bank,0.0018651905073199249,0.1865190507319925
2020-03-04,HDFC Bank,-0.027881206558249327,-2.7881206558249327
2020-03-05,HDFC Bank,0.0021760271641901863,0.21760271641901863
2020-03-06,HDFC Bank,-0.014287674690161012,-1.4287674690161012
2020-03-09,HDFC Bank,-0.02431906412658391,-2.431906412658391
2020-03-11,HDFC Bank,0.005870179758948213,0.5870179758948213
2020-03-12,HDFC Bank,-0.0830492318202477,-8.30492318202477
2020-03-13,HDFC Bank,0.047488583303402,4.7488583303402
2020-03-16,HDFC Bank,-0.06571326368187713,-6.571326368187713
2020-03-17,HDFC Bank,-0.02441219102840464,-2.441219102840464
2020-03-18,HDFC Bank,-0.10070764904530527,-10.070764904530527
2020-03-19,HDFC Bank,0.021268213391042012,2.1268213391042012
2020-03-20,HDFC Bank,-0.014181328190956077,-1.4181328190956077
2020-03-23,HDFC Bank,-0.12606893888816262,-12.606893888816263
2020-03-24,HDFC Bank,-0.0049901052841238025,-0.49901052841238025
2020-03-25,HDFC Bank,0.11599590195442167,11.599590195442167
2020-03-26,HDFC Bank,0.05176542494197256,5.176542494197256
2020-03-27,HDFC Bank,0.0037176629079072043,0.37176629079072043
2020-03-30,HDFC Bank,-0.08049081634988398,-8.049081634988397
2020-03-31,HDFC Bank,0.03637343043059715,3.6373430430597153
2020-04-01,HDFC Bank,-0.037417439624192306,-3.7417439624192306
2020-04-03,HDFC Bank,-0.019043992387487774,-1.9043992387487774
2020-04-07,HDFC Bank,0.10106281555694685,10.106281555694686
2020-04-08,HDFC Bank,-0.008034857580036858,-0.8034857580036858
2020-04-09,HDFC Bank,0.040668231002290556,4.066823100229056
2020-04-13,HDFC Bank,-0.03210649883212857,-3.210649883212857
2020-04-15,HDFC Bank,-0.035795959773615715,-3.5795959773615715
2020-04-16,HDFC Bank,0.019054770305285684,1.9054770305285684
2020-04-17,HDFC Bank,0.034725899129676385,3.4725899129676385
2020-04-20,HDFC Bank,0.037954338995696224,3.7954338995696224
2020-04-21,HDFC Bank,-0.024554026241201288,-2.4554026241201288
2020-04-22,HDFC Bank,0.00754068549399034,0.754068549399034
2020-04-23,HDFC Bank,0.02837612314526816,2.837612314526816
2020-04-24,HDFC Bank,-0.01769726358335766,-1.7697263583357659
2020-04-27,HDFC Bank,-0.00890141779821274,-0.8901417798212741
2020-04-28,HDFC Bank,0.0018285286544643675,0.18285286544643675
2020-04-29,HDFC Bank,0.04906586948644831,4.906586948644831
2020-04-30,HDFC Bank,0.0252789522648198,2.52789522648198
2020-05-04,HDFC Bank,-0.07865844819303447,-7.865844819303447
2020-05-05,HDFC Bank,-0.012513493973868584,-1.2513493973868584
2020-05-06,HDFC Bank,0.038345428747137644,3.8345428747137644
2020-05-07,HDFC Bank,-0.0226119954534173,-2.26119954534173
2020-05-08,HDFC Bank,0.004378418337802836,0.43784183378028363
