Date,Asset,Adjusted Close
2020-01-01,HDFC Bank,595.67724609375
2020-01-02,HDFC Bank,599.4741821289062
2020-01-03,HDFC Bank,590.9252319335938
2020-01-06,HDFC Bank,578.13671875
2020-01-07,HDFC Bank,587.291259765625
2020-01-08,HDFC Bank,585.75390625
2020-01-09,HDFC Bank,592.3228759765625
2020-01-10,HDFC Bank,597.5872802734375
2020-01-13,HDFC Bank,599.124755859375
2020-01-14,HDFC Bank,600.7553100585938
2020-01-15,HDFC Bank,598.3094482421875
2020-01-16,HDFC Bank,599.8933715820312
2020-01-17,HDFC Bank,595.467529296875
2020-01-20,HDFC Bank,584.6357421875
2020-01-21,HDFC Bank,579.720703125
2020-01-22,HDFC Bank,578.0901489257812
2020-01-23,HDFC Bank,579.9536743164062
2020-01-24,HDFC Bank,579.8138427734375
2020-01-27,HDFC Bank,565.2084350585938
2020-01-28,HDFC Bank,569.8673706054688
2020-01-29,HDFC Bank,575.7608032226562
2020-01-30,HDFC Bank,571.1951293945312
2020-01-31,HDFC Bank,571.3116455078125
2020-02-03,HDFC Bank,555.7044677734375
2020-02-04,HDFC Bank,572.942138671875
2020-02-05,HDFC Bank,579.8604736328125
2020-02-06,HDFC Bank,577.6010131835938
2020-02-07,HDFC Bank,578.7191162109375
2020-02-10,HDFC Bank,577.8338623046875
2020-02-11,HDFC Bank,577.9735717773438
2020-02-12,HDFC Bank,581.8870849609375
2020-02-13,HDFC Bank,578.346435546875
2020-02-14,HDFC Bank,568.0736083984375
2020-02-17,HDFC Bank,567.0487060546875
2020-02-18,HDFC Bank,565.2318115234375
2020-02-19,HDFC Bank,571.7308959960938
2020-02-20,HDFC Bank,567.025390625
2020-02-24,HDFC Bank,563.6943969726562
2020-02-25,HDFC Bank,559.1986694335938
2020-02-26,HDFC Bank,558.7094116210938
2020-02-27,HDFC Bank,558.8026733398438
2020-02-28,HDFC Bank,548.6463012695312
2020-03-02,HDFC Bank,549.5548095703125
2020-03-03,HDFC Bank,550.579833984375
2020-03-04,HDFC Bank,535.22900390625
2020-03-05,HDFC Bank,536.3936767578125
2020-03-06,HDFC Bank,528.7298583984375
2020-03-09,HDFC Bank,515.8716430664062
2020-03-11,HDFC Bank,518.89990234375
2020-03-12,HDFC Bank,475.8056640625
2020-03-13,HDFC Bank,498.4010009765625
2020-03-16,HDFC Bank,465.6494445800781
2020-03-17,HDFC Bank,454.28192138671875
2020-03-18,HDFC Bank,408.5322570800781
2020-03-19,HDFC Bank,417.22100830078125
2020-03-20,HDFC Bank,411.30426025390625
2020-03-23,HDFC Bank,359.4515686035156
2020-03-24,HDFC Bank,357.6578674316406
2020-03-25,HDFC Bank,399.14471435546875
2020-03-26,HDFC Bank,419.8066101074219
2020-03-27,HDFC Bank,421.3673095703125
2020-03-30,HDFC Bank,387.45111083984375
2020-03-31,HDFC Bank,401.5440368652344
2020-04-01,HDFC Bank,386.519287109375
2020-04-03,HDFC Bank,379.1584167480469
2020-04-07,HDFC Bank,417.47723388671875
2020-04-08,HDFC Bank,414.12286376953125
2020-04-09,HDFC Bank,430.9645080566406
2020-04-13,HDFC Bank,417.12774658203125
2020-04-15,HDFC Bank,402.1962585449219
2020-04-16,HDFC Bank,409.8600158691406
2020-04-17,HDFC Bank,424.0927734375
2020-04-20,HDFC Bank,440.1889343261719
2020-04-21,HDFC Bank,429.3805236816406
2020-04-22,HDFC Bank,432.61834716796875
2020-04-23,HDFC Bank,444.8943786621094
2020-04-24,HDFC Bank,437.0209655761719
2020-04-27,HDFC Bank,433.130859375
2020-04-28,HDFC Bank,433.9228515625
