Simulation,Terminal Portfolio Value,Profit or Loss
119,1008475.8998265734,8475.89982657344
120,968740.3047869415,-31259.695213058498
121,880665.6974223189,-119334.30257768114
122,1046218.6083240204,46218.6083240204
123,1043977.462580862,43977.46258086199
124,980000.4400127399,-19999.559987260145
125,944427.5191242561,-55572.4808757439
126,925102.476118288,-74897.523881712
127,1002558.5725761523,2558.572576152277
128,1026507.4990082185,26507.499008218525
129,1039214.3295463305,39214.3295463305
130,1061962.0948632348,61962.094863234786
131,942837.337166914,-57162.66283308598
132,920274.0709930307,-79725.92900696932
133,1041317.036526177,41317.03652617696
134,883309.1840079344,-116690.81599206559
135,988546.0202256442,-11453.979774355772
136,1003869.4870503974,3869.487050397438
137,1172658.1648329447,172658.16483294475
138,1207569.7913744652,207569.79137446522
139,1008496.9588889285,8496.958888928522
140,1008514.0944163649,8514.094416364911
141,985760.369545431,-14239.630454569007
142,944022.6557399643,-55977.344260035665
143,1004338.8109252193,4338.810925219324
144,1050857.8402943206,50857.8402943206
145,918040.4327135212,-81959.56728647882
146,990196.1978672766,-9803.802132723387
147,925997.1939374389,-74002.80606256111
148,1056089.3508715292,56089.3508715292
149,1069804.198869024,69804.19886902394
150,1122248.2243773171,122248.22437731712
151,968300.7954168024,-31699.2045831976
152,1017313.1851391142,17313.185139114154
153,997963.7702535938,-2036.2297464061994
154,967200.5022043481,-32799.4977956519
155,973933.6498552569,-26066.350144743104
156,977174.9944928642,-22825.005507135764
157,907787.3842492191,-92212.61575078091
158,1002470.726092891,2470.7260928909527
159,970852.7986840104,-29147.2013159896
160,923537.4629125333,-76462.53708746668
161,1069845.5059232349,69845.50592323486
162,1034963.6744150136,34963.67441501364
163,999441.0564689604,-558.9435310396366
164,1032351.9797412029,32351.9797412029
165,865767.9808482092,-134232.01915179077
166,1003898.5783783098,3898.578378309845
167,1014583.7696182369,14583.769618236925
168,1090621.6793252146,90621.67932521459
169,974324.36751436,-25675.632485640002
170,974737.3654340412,-25262.634565958753
171,1034915.8875862315,34915.88758623146
172,922130.9811617413,-77869.0188382587
173,1115867.321761996,115867.32176199602
174,1072204.6418943743,72204.64189437428
175,952644.8035109824,-47355.19648901757
176,988679.3630815516,-11320.636918448377
177,1017186.0572472058,17186.057247205754
178,1059542.3166936743,59542.31669367431
179,985695.4821238634,-14304.517876136582
180,890897.6444520392,-109102.35554796085
181,945902.3494077225,-54097.650592277525
182,1002174.3663429426,2174.3663429425796
183,1079261.7535907582,79261.75359075819
184,998412.1383700683,-1587.8616299317218
185,960061.7515090205,-39938.248490979546
186,1081640.3369766609,81640.33697666088
187,1121794.0701085296,121794.07010852965
188,1116997.378282821,116997.37828282104
189,1123675.909189362,123675.90918936208
190,956060.0753128541,-43939.92468714586
191,984169.788810775,-15830.211189224967
192,1202230.5596047759,202230.55960477586
193,1058005.4798216836,58005.479821683606
194,978742.5013819422,-21257.498618057813
195,943128.7454729266,-56871.25452707335
