Asset,Daily Alpha,Annualised Alpha,Beta,R-Squared,Beta P-Value,Residual Volatility
HDFC Bank,-0.00027881223361364473,-0.07026068287063847,1.08837952489806,0.5757959098618572,2.1375539137341364e-306,0.167145165291254
ICICI Bank,0.0001891570029118324,0.04766756473378176,1.2397559500088424,0.5817751281003,1.9677061899044e-311,0.18807188285283377
Infosys,0.00010110673575360327,0.025478897409908025,0.9017963876399586,0.3301866805775565,2.671310479834763e-144,0.22980841311581787
Reliance Industries,4.493757250248649e-06,0.0011324268270626594,1.0972058731372358,0.4973959000313908,3.1463891857341153e-246,0.19733783287881707
TCS,-8.840282112990166e-05,-0.02227751092473522,0.7640925330309638,0.3071390318406235,2.7457025308807933e-132,0.2053344486015944
